Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Mali,Africa,5442,268.73,680,152,180,8.89,20,5,Community transmission
Suriname,Americas,5326,9078.95,7,1,117,199.44,0,0,Sporadic cases
Mayotte,Africa,5181,18990.89,0,0,49,179.61,0,0,Clusters of cases
Equatorial Guinea,Africa,5166,3682.15,10,0,85,60.59,0,0,Community transmission
Aruba,Americas,4984,46681.53,112,18,45,421.48,0,0,Community transmission
Central African Republic,Africa,4927,1020.13,9,0,63,13.04,0,0,Community transmission
Nicaragua,Americas,4709,710.84,38,0,162,24.45,1,0,Community transmission
Somalia,Eastern Mediterranean,4579,288.11,54,0,121,7.61,0,0,Sporadic cases
Thailand,South-East Asia,4151,59.47,125,25,60,0.86,0,0,Clusters of cases
Gambia,Africa,3776,1562.48,34,4,123,50.9,0,0,Community transmission
Burkina Faso,Africa,3469,165.95,538,154,69,3.3,1,1,Community transmission
Curaçao,Americas,3246,19781.47,743,72,8,48.75,1,0,Community transmission
South Sudan,Africa,3181,284.18,72,0,62,5.54,1,0,Community transmission
Togo,Africa,3132,378.32,186,37,65,7.85,1,0,Community transmission
Benin,Africa,3090,254.88,35,17,44,3.63,0,0,Community transmission
Guinea-Bissau,Africa,2444,1241.87,19,3,44,22.36,0,0,Community transmission
Sierra Leone,Africa,2428,304.38,15,0,74,9.28,0,0,Community transmission
Lesotho,Africa,2150,1003.62,41,0,44,20.54,0,0,Community transmission
Yemen,Eastern Mediterranean,2083,69.84,2,0,607,20.35,1,0,Sporadic cases
Niger,Africa,1856,76.67,308,67,77,3.18,5,0,Community transmission
San Marino,Europe,1832,53980.79,182,32,48,1414.34,2,0,Community transmission
New Zealand,Western Pacific,1732,359.17,19,0,25,5.18,0,0,Clusters of cases
Chad,Africa,1728,105.2,28,0,102,6.21,0,0,Community transmission
United States Virgin Islands,Americas,1698,16260.47,135,18,23,220.25,0,0,Community transmission
Liberia,Africa,1676,331.38,78,0,83,16.41,0,0,Community transmission
Liechtenstein,Europe,1447,37942.16,103,16,17,445.76,2,0,Sporadic cases
Viet Nam,Western Pacific,1381,14.19,23,4,35,0.36,0,0,Clusters of cases
Jersey,Europe,1338,12297.79,330,100,32,294.12,0,0,Community transmission
Sint Maarten,Americas,1155,26934.38,83,0,26,606.32,1,0,Community transmission
Gibraltar,Europe,1055,31314,35,2,5,148.41,0,0,Clusters of cases
Sao Tome and Principe,Africa,1005,4585.71,9,3,17,77.57,0,0,Community transmission
Mongolia,Western Pacific,893,272.4,81,5,0,0,0,0,Clusters of cases
Saint Martin,Americas,838,21676.71,94,0,12,310.41,0,0,Community transmission
Turks and Caicos Islands,Americas,761,19654.94,11,5,6,154.97,0,0,Clusters of cases
Other,Other,744,,3,0,13,,0,0,Not applicable
Burundi,Africa,720,60.55,31,4,1,0.08,0,0,Community transmission
Papua New Guinea,Western Pacific,684,76.45,15,0,7,0.78,0,0,Community transmission
Eritrea,Africa,649,183,72,0,0,0,0,0,Sporadic cases
Monaco,Europe,648,16512.08,28,7,3,76.44,0,0,Sporadic cases
Comoros,Africa,616,708.37,5,0,7,8.05,0,0,Community transmission
Faroe Islands,Europe,514,10518.78,11,4,0,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Mauritius,Africa,505,397.09,0,0,10,7.86,0,0,Clusters of cases
Bhutan,South-East Asia,433,561.17,18,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,370,4351.3,1,0,25,294.01,0,0,No cases
Cambodia,Western Pacific,356,21.29,25,2,0,0,0,0,Sporadic cases
Bermuda,Americas,340,5459.83,73,34,9,144.52,0,0,Clusters of cases
Cayman Islands,Americas,291,4427.88,6,1,2,30.43,0,0,Sporadic cases
Barbados,Americas,290,1009.13,12,1,7,24.36,0,0,Clusters of cases
Guernsey,Europe,288,4557.25,1,0,13,205.71,0,0,Community transmission
Saint Lucia,Americas,271,1475.82,10,1,3,16.34,1,1,Sporadic cases
Seychelles,Africa,182,1850.59,10,0,0,0,0,0,Sporadic cases
"Bonaire, Sint Eustatius and Saba",Americas,169,6445.22,6,0,3,114.41,0,0,Sporadic cases
Saint Barthélemy,Americas,164,16590.79,12,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,152,347.45,1,0,3,6.86,0,0,Sporadic cases
Antigua and Barbuda,Americas,146,1490.88,4,0,4,40.85,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,113,1963.27,7,0,2,34.75,0,0,Pending
Saint Vincent and the Grenadines,Americas,90,811.25,5,3,0,0,0,0,Sporadic cases
Dominica,Americas,85,1180.7,0,0,0,0,0,0,Clusters of cases
British Virgin Islands,Americas,75,2480.4,2,2,1,33.07,0,0,Clusters of cases
Fiji,Western Pacific,44,49.08,2,0,2,2.23,0,0,Sporadic cases
Grenada,Americas,43,382.14,2,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,2,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,36,126.1,3,0,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,31,23.51,0,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,25,470,3,0,0,0,0,0,Sporadic cases
Greenland,Europe,18,317.06,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,17,4880.85,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,14,2415.88,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Anguilla,Americas,10,666.58,4,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,3,266.76,0,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,Sporadic cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
